URL|className|Score|ScoreExplanation|
http://www.nytimes.com/adx/bin/adx_click.html?type=goto&opzn&page=www.nytimes.com/pages/politics/index.html&pos=Bar1&sn2=f3960241/63c4cbea&sn1=2c7b9cbc/8a7f0e0e&camp=nyt2016_bar1_digi_cpb_67LXL&ad=nyt2016_bar1_digi_cpb_67LXL&goto=https%3A%2F%2Fwww%2Enytimes%2Ecom%2Fsubscriptions%2FMultiproduct%2Flp8HYKU%2Ehtml%3Fadxc%3D283987%26adxa%3D414213%26page%3Dwww.nytimes.com/pages/politics/index.html%26pos%3DBar1%26campaignId%3D67LXL|user-subscriptions-menu user-subscriptions-group bar1_hover|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/adx/bin/adx_click.html?type=goto&opzn&page=www.nytimes.com/pages/politics/index.html&pos=Bar1&sn2=f3960241/63c4cbea&sn1=2c7b9cbc/8a7f0e0e&camp=nyt2016_bar1_digi_cpb_67LXL&ad=nyt2016_bar1_digi_cpb_67LXL&goto=https%3A%2F%2Fwww%2Enytimes%2Ecom%2Fsubscriptions%2FMultiproduct%2Flp8HYKU%2Ehtml%3Fadxc%3D283987%26adxa%3D414213%26page%3Dwww.nytimes.com/pages/politics/index.html%26pos%3DBar1%26campaignId%3D67LXL|subscribe-link sub_small_hide|-20|X Position Score Adjustment: 0,Text too short penalty: -10,Text too few words penalty: -10,|
https://myaccount.nytimes.com/auth/login|NYT5Style|-30|X Position Score Adjustment: 1,Y Position Top 1 Score: -11,Text too short penalty: -10,Text too few words penalty: -10,|
https://myaccount.nytimes.com/gst/regi.html|NYT5Style|-20|X Position Score Adjustment: 1,Y Position Top 1 Score: -11,Text too few words penalty: -10,|
http://www.nytimes.com/membercenter/sitehelp.html|NYT5Style|-30|X Position Score Adjustment: 1,Y Position Top 1 Score: -11,Text too short penalty: -10,Text too few words penalty: -10,|
http://www.nytimes.com|first mainTabHome|-30|X Position Score Adjustment: 1,Y Position Top 1 Score: -11,Text too short penalty: -10,Text too few words penalty: -10,|
http://www.nytimes.com/pages/todayspaper/index.html|mainTabTodaysPaper|-13|X Position Score Adjustment: 1,Y Position Top 1 Score: -11,Text too few words penalty: -10,URL Same Path Score: 7,|
http://www.nytimes.com/video|mainTabVideo|-30|X Position Score Adjustment: 1,Y Position Top 1 Score: -11,Text too short penalty: -10,Text too few words penalty: -10,|
http://www.nytimes.com/mostpopular|mainTabMostPopular|-20|X Position Score Adjustment: 1,Y Position Top 1 Score: -11,Text too few words penalty: -10,|
http://www.nytimes.com|editionToggle|-42|X Position Score Adjustment: 1,Y Position Top 1 Score: -11,Text too short penalty: -10,Text too few words penalty: -10,All Caps Title Penalty: -12,|
http://global.nytimes.com|editionToggle|-29|X Position Score Adjustment: 2,Y Position Top 1 Score: -11,Text too short penalty: -10,Text too few words penalty: -10,|
http://www.nytimes.com/pages/politics/index.html|wrap|-19|X Position Score Adjustment: 0,Y Position Top 2 Score: -6,Text too short penalty: -10,Text too few words penalty: -10,URL Same Path Score: 7,|
http://www.nytimes.com/pages/world/index.html|first |-18|X Position Score Adjustment: 1,Y Position Top 2 Score: -6,Text too short penalty: -10,Text too few words penalty: -10,URL Same Path Score: 7,|
http://www.nytimes.com/pages/national/index.html|selected|-30|X Position Score Adjustment: 1,Y Position Top 2 Score: -6,Text too short penalty: -10,Text too few words penalty: -10,URL Same Path Score: 7,All Caps Title Penalty: -12,|
http://www.nytimes.com/pages/nyregion/index.html|tabs|8|X Position Score Adjustment: 1,URL Same Path Score: 7,|
http://www.nytimes.com/pages/technology/index.html|tabs|-2|X Position Score Adjustment: 1,Text too few words penalty: -10,URL Same Path Score: 7,|
http://www.nytimes.com/pages/business/index.html|tabs|-12|X Position Score Adjustment: 1,Text too short penalty: -10,Text too few words penalty: -10,URL Same Path Score: 7,|
http://www.nytimes.com/pages/health/index.html|tabs|-12|X Position Score Adjustment: 1,Text too short penalty: -10,Text too few words penalty: -10,URL Same Path Score: 7,|
http://www.nytimes.com/pages/science/index.html|tabs|-12|X Position Score Adjustment: 1,Text too short penalty: -10,Text too few words penalty: -10,URL Same Path Score: 7,|
http://www.nytimes.com/pages/opinion/index.html|tabs|-12|X Position Score Adjustment: 1,Text too short penalty: -10,Text too few words penalty: -10,URL Same Path Score: 7,|
http://www.nytimes.com/pages/sports/index.html|tabs|-12|X Position Score Adjustment: 1,Text too short penalty: -10,Text too few words penalty: -10,URL Same Path Score: 7,|
http://www.nytimes.com/pages/style/index.html|tabs|-12|X Position Score Adjustment: 1,Text too short penalty: -10,Text too few words penalty: -10,URL Same Path Score: 7,|
http://www.nytimes.com/pages/arts/index.html|tabs|-12|X Position Score Adjustment: 1,Text too short penalty: -10,Text too few words penalty: -10,URL Same Path Score: 7,|
http://www.nytimes.com/pages/jobs/index.html|tabs|-12|X Position Score Adjustment: 1,Text too short penalty: -10,Text too few words penalty: -10,URL Same Path Score: 7,|
http://www.nytimes.com/pages/travel/index.html|tabs|-12|X Position Score Adjustment: 1,Text too short penalty: -10,Text too few words penalty: -10,URL Same Path Score: 7,|
http://www.nytimes.com/pages/automobiles/index.html|tabs|-12|X Position Score Adjustment: 1,Text too short penalty: -10,Text too few words penalty: -10,URL Same Path Score: 7,|
http://www.nytimes.com/pages/realestate/index.html|tabs|-2|X Position Score Adjustment: 1,Text too few words penalty: -10,URL Same Path Score: 7,|
http://www.nytimes.com/interactive/2016/us/elections/election-2016.html|election2016Item|-9|X Position Score Adjustment: 1,Text too few words penalty: -10,|
http://www.nytimes.com/politics/|firstItem politicsHomeItem|-9|X Position Score Adjustment: 1,Text too few words penalty: -10,|
http://video.nytimes.com/video/playlist/politics/1194811622221/index.html|videoItem|-19|X Position Score Adjustment: 1,Text too short penalty: -10,Text too few words penalty: -10,|
http://topics.nytimes.com/top/reference/timestopics/subjects/n/newyorktimes-poll-watch/index.html|pollWatchItem|-9|X Position Score Adjustment: 1,Text too few words penalty: -10,|
http://www.nytimes.com/reuters/2016/07/07/us/politics/07reuters-usa-election-adviser-russia.html|horizontalMenu piped wrap|12|X Position Score Adjustment: 1,Text too long penalty: 11,|
http://www.nytimes.com/2016/07/08/us/politics/james-comey-fbi-testimony-hillary-clinton-emails.html|horizontalMenu piped wrap|12|X Position Score Adjustment: 1,Text too long penalty: 11,|
http://www.nytimes.com/upshot/|upshotItem|-9|X Position Score Adjustment: 1,Text too few words penalty: -10,|
http://www.nytimes.com/aponline/2016/07/07/us/politics/ap-us-arctic-drilling.html|horizontalMenu piped wrap|12|X Position Score Adjustment: 1,Text too long penalty: 11,|
http://www.nytimes.com/2016/07/08/us/politics/donald-trump-president.html?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/2016/07/08/us/politics/donald-trump-republican-party.html?ref=politics|storyHeader|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/interactive/2016/us/elections/polls.html?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/2016/07/07/us/politics/donald-trump-campaign.html?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/2016/07/08/us/politics/bernie-sanders-hillary-clinton.html?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/2016/07/08/us/politics/james-comey-fbi-testimony-hillary-clinton-emails.html?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/2016/07/08/us/politics/democrats-plan-early-attacks-tying-gop-candidates-to-trump.html?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/live/james-comey-testifies-before-congress/?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/2016/07/07/us/politics/william-armstrong-two-term-colorado-senator-dies-at-79.html?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/2016/07/07/us/politics/house-gop-returns-focus-to-obamacares-spending-authority.html?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/2016/07/07/us/politics/gun-control-paul-ryan-congress.html?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/2016/07/07/us/politics/fbi-chief-to-explain-recommendation-on-hillary-clinton-before-congress.html?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/2016/07/07/us/politics/jared-kushner-defends-donald-trump-his-father-in-law-on-bias-charge.html?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/2016/07/07/us/politics/donald-trump-steps-up-fund-raising-for-his-campaign-to-26-million-in-june.html?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/2016/07/08/upshot/a-clinton-embrace-is-near-but-is-sanders-ready-for-prime-time.html?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/2016/07/07/theater/mike-daisey-a-political-monologuists-summer-of-trump.html?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/2016/07/07/us/politics/hillary-clinton-campaign.html?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/2016/07/07/us/politics/joni-ernst-republican-convention-trump.html?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/2016/07/07/business/media/gretchen-carlson-fox-news-roger-ailes-sexual-harassment-lawsuit.html?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/interactive/2016/06/21/us/elections/trump-campaign-finance.html?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/2016/07/07/us/hillary-clinton-james-comey-emails.html?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/2016/07/07/us/hillary-clintons-email-was-probably-hacked-experts-say.html?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/interactive/2016/05/27/us/politics/what-we-know-about-hillary-clintons-private-email-server.html?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/interactive/2016/us/elections/election-2016-campaign-money-race.html?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/interactive/2016/05/11/us/politics/where-trump-breaks-with-the-republican-party.html?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/interactive/2016/us/elections/election-2016.html?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/interactive/2016/us/elections/2016-presidential-candidates.html?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/2016/06/30/us/politics/donald-trump-flip-flop.html?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/interactive/2016/05/25/us/politics/donald-trump-campaign-news-conference.html?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/elections/results?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/interactive/2016/us/elections/candidates-on-the-issues.html?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/interactive/2016/us/elections/presidential-campaign-in-pictures.html?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/news-event/election-2016?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/interactive/2016/us/elections/fact-check.html?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/2016/07/04/us/politics/trump-clinton-election-supreme-court.html?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/interactive/projects/portraits/voters-of-the-people?ref=politics|story|0|X Position Score Adjustment: 0,|
http://www.nytimes.com/interactive/2016/01/28/upshot/donald-trump-twitter-insults.html?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/interactive/2016/us/politics/presidential-campaign-election-ads-2016.html?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/video|extVidPlayerSectionHeaderLink|0|X Position Score Adjustment: 0,|
http://www.nytimes.com/video|extVidPlayerMainHeaderLink|-10|X Position Score Adjustment: 0,Text too few words penalty: -10,|
http://www.nytimes.com/2016/07/07/opinion/hillary-clinton-maam-survivor.html?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/2016/07/07/opinion/the-not-so-liberal-roberts-court.html?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/interactive/2016/04/04/us/politics/how-election-results-work.html?ref=politics|story|11|X Position Score Adjustment: 0,Text too long penalty: 11,|
http://www.nytimes.com/ref/membercenter/help/agree.html|pageFooterNavList wrap|12|X Position Score Adjustment: 1,Text too long penalty: 11,|
http://www.nytimes.com/content/help/rights/sale/terms-of-sale.html |pageFooterNavList wrap|1|X Position Score Adjustment: 1,|
http://www.nytimes.com/ref/membercenter/help/privacy.html#pp|pageFooterNavList wrap|1|X Position Score Adjustment: 1,|
http://www.nytimes.com/privacy|pageFooterNavList wrap|-19|X Position Score Adjustment: 1,Text too short penalty: -10,Text too few words penalty: -10,|
http://spiderbites.nytimes.com/|pageFooterNavList wrap|-19|X Position Score Adjustment: 1,Text too short penalty: -10,Text too few words penalty: -10,|
http://www.nytimes.com/content/help/rights/copyright/copyright-notice.html|firstItem|12|X Position Score Adjustment: 1,Text too long penalty: 11,|
#|nextVideo|-19|X Position Score Adjustment: 1,Text too short penalty: -10,Text too few words penalty: -10,|
#|previousVideo previousVideoInactive|-20|X Position Score Adjustment: 0,Text too short penalty: -10,Text too few words penalty: -10,|
http://www.nytimes.com/membercenter/sitehelp.html|pageFooterNavList wrap|-19|X Position Score Adjustment: 1,Text too short penalty: -10,Text too few words penalty: -10,|
https://myaccount.nytimes.com/membercenter/feedback.html|lastItem|-9|X Position Score Adjustment: 1,Text too few words penalty: -10,|
http://www.nytimes.com/ref/membercenter/help/infoservdirectory.html|pageFooterNavList wrap|-9|X Position Score Adjustment: 1,Text too few words penalty: -10,|
